H,success,T_max,sag_max
5.0,True,30764.660369014342,34.91166306196231
8.0,True,31898.46076015192,34.68734829737731
10.0,True,33029.0982927199,34.26769824831037
12.0,True,34156.26612827841,34.365717741792885
15.0,True,35280.462021600826,33.78599387644521
18.0,True,36401.69073525717,33.08851625952697
20.0,True,36401.39212210679,32.61340874344319
