N,success,arc_length,T_max,sag_max,objective
30,True,604.1476025687847,35280.55146309845,33.810052802644066,-66256.59435335749
50,True,604.1462241019813,35280.462021600826,33.78599387644521,-66278.23870521628
80,True,604.1494956525731,35280.67453490285,33.772454502689754,-66290.97642604887
